captured_at,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-08-26T19:46:16.773519+00:00,True,AAPL260904C00317500,AAPL,2026-09-04,9dte,317.5,call,315.15,3.83,3.95,245,354,3.89,0.12,0.030848,1.0075,2026-08-26T19:46:15.519454572Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260904C00347500,TSLA,2026-09-04,9dte,347.5,call,346.325,8.7,8.98,112,77,8.84,0.28,0.031674,1.0034,2026-08-26T19:46:15.48393691Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260904C00500000,MSFT,2026-09-04,9dte,500.0,call,496.57,6.48,6.57,3,24,6.525,0.09,0.013793,1.0069,2026-08-26T19:46:15.557360296Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260904C00315000,AAPL,2026-09-04,9dte,315.0,call,315.15,5.07,5.13,281,418,5.1,0.06,0.011765,0.9995,2026-08-26T19:46:15.474867316Z
2026-08-26T19:46:16.773519+00:00,True,SPY260904C00766000,SPY,2026-09-04,9dte,766.0,call,766.74,6.62,6.83,330,59,6.725,0.21,0.031227,0.999,2026-08-26T19:46:16.420000597Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260904C00207500,NVDA,2026-09-04,9dte,207.5,call,209.6,8.34,8.58,1,162,8.46,0.24,0.028369,0.99,2026-08-26T19:46:15.675126681Z
2026-08-26T19:46:16.773519+00:00,True,META260904C00580000,META,2026-09-04,9dte,580.0,call,576.26,12.5,12.87,351,242,12.684999999999999,0.37,0.029168,1.0065,2026-08-26T19:46:15.949236232Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260904P00350000,TSLA,2026-09-04,9dte,350.0,put,346.325,10.77,11.04,305,20,10.905,0.27,0.024759,1.0106,2026-08-26T19:46:15.553696976Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260904C00350000,TSLA,2026-09-04,9dte,350.0,call,346.325,7.87,7.97,278,65,7.92,0.1,0.012626,1.0106,2026-08-26T19:46:15.483400598Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260904P00497500,MSFT,2026-09-04,9dte,497.5,put,496.57,7.92,8.18,240,87,8.05,0.26,0.032298,1.0019,2026-08-26T19:46:15.55373163Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260904P00345000,TSLA,2026-09-04,9dte,345.0,put,346.325,8.29,8.39,15,94,8.34,0.1,0.01199,0.9962,2026-08-26T19:46:16.186941806Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260904P00347500,TSLA,2026-09-04,9dte,347.5,put,346.325,9.41,9.52,8,84,9.465,0.11,0.011622,1.0034,2026-08-26T19:46:15.081956398Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260904P00207500,NVDA,2026-09-04,9dte,207.5,put,209.6,5.98,6.22,72,128,6.1,0.24,0.039344,0.99,2026-08-26T19:46:16.285170537Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260904C00495000,MSFT,2026-09-04,9dte,495.0,call,496.57,9.06,9.31,14,170,9.185,0.25,0.027218,0.9968,2026-08-26T19:46:15.550991095Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260904P00212500,NVDA,2026-09-04,9dte,212.5,put,209.6,8.59,8.88,28,132,8.735,0.29,0.0332,1.0138,2026-08-26T19:46:16.283678256Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260904P00315000,AAPL,2026-09-04,9dte,315.0,put,315.15,4.49,4.72,223,242,4.605,0.23,0.049946,0.9995,2026-08-26T19:46:16.368184429Z
2026-08-26T19:46:16.773519+00:00,True,SPY260904C00767000,SPY,2026-09-04,9dte,767.0,call,766.74,6.26,6.29,55,167,6.275,0.03,0.004781,1.0003,2026-08-26T19:46:16.170646971Z
2026-08-26T19:46:16.773519+00:00,True,META260904C00577500,META,2026-09-04,9dte,577.5,call,576.26,13.57,14.22,310,149,13.895,0.65,0.046779,1.0022,2026-08-26T19:46:16.40797983Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260904P00210000,NVDA,2026-09-04,9dte,210.0,put,209.6,7.33,7.43,86,272,7.38,0.1,0.01355,1.0019,2026-08-26T19:46:15.482110502Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260904C00212500,NVDA,2026-09-04,9dte,212.5,call,209.6,6.13,6.23,66,228,6.18,0.1,0.016181,1.0138,2026-08-26T19:46:15.885151969Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260904C00210000,NVDA,2026-09-04,9dte,210.0,call,209.6,7.29,7.36,86,175,7.325,0.07,0.009556,1.0019,2026-08-26T19:46:16.469505622Z
2026-08-26T19:46:16.773519+00:00,True,META260904P00577500,META,2026-09-04,9dte,577.5,put,576.26,14.08,14.62,44,190,14.35,0.54,0.037631,1.0022,2026-08-26T19:46:16.057066837Z
2026-08-26T19:46:16.773519+00:00,True,META260904P00580000,META,2026-09-04,9dte,580.0,put,576.26,15.14,15.95,85,146,15.545,0.81,0.052107,1.0065,2026-08-26T19:46:15.948804377Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260904C00497500,MSFT,2026-09-04,9dte,497.5,call,496.57,7.42,7.82,274,202,7.62,0.4,0.052493,1.0019,2026-08-26T19:46:15.534701102Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260904P00260000,AMZN,2026-09-04,9dte,260.0,put,260.28,4.36,4.44,9,114,4.4,0.08,0.018182,0.9989,2026-08-26T19:46:16.027441437Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260904P00317500,AAPL,2026-09-04,9dte,317.5,put,315.15,5.78,5.94,417,155,5.86,0.16,0.027304,1.0075,2026-08-26T19:46:15.543866785Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260904P00495000,MSFT,2026-09-04,9dte,495.0,put,496.57,6.77,6.99,219,199,6.88,0.22,0.031977,0.9968,2026-08-26T19:46:15.553483205Z
2026-08-26T19:46:16.773519+00:00,True,SPY260904C00768000,SPY,2026-09-04,9dte,768.0,call,766.74,5.62,5.65,118,115,5.635,0.03,0.005324,1.0016,2026-08-26T19:46:16.170867914Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260904C00260000,AMZN,2026-09-04,9dte,260.0,call,260.28,4.9,5.24,358,96,5.07,0.34,0.067061,0.9989,2026-08-26T19:46:16.369541994Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260904C00345000,TSLA,2026-09-04,9dte,345.0,call,346.325,9.98,10.18,71,204,10.08,0.2,0.019841,0.9962,2026-08-26T19:46:15.555148546Z
2026-08-26T19:46:16.773519+00:00,True,SPY260904P00767000,SPY,2026-09-04,9dte,767.0,put,766.74,5.4,5.61,61,138,5.505000000000001,0.21,0.038147,1.0003,2026-08-26T19:46:15.794194799Z
2026-08-26T19:46:16.773519+00:00,True,META260904P00575000,META,2026-09-04,9dte,575.0,put,576.26,12.77,13.18,80,181,12.975,0.41,0.031599,0.9978,2026-08-26T19:46:15.594297459Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260904P00500000,MSFT,2026-09-04,9dte,500.0,put,496.57,9.39,9.57,200,67,9.48,0.18,0.018987,1.0069,2026-08-26T19:46:15.553542125Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260904P00262500,AMZN,2026-09-04,9dte,262.5,put,260.28,5.7,5.82,125,213,5.76,0.12,0.020833,1.0085,2026-08-26T19:46:15.87177921Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260904P00312500,AAPL,2026-09-04,9dte,312.5,put,315.15,3.44,3.5,670,105,3.4699999999999998,0.06,0.017291,0.9916,2026-08-26T19:46:15.477117527Z
2026-08-26T19:46:16.773519+00:00,True,SPY260904P00768000,SPY,2026-09-04,9dte,768.0,put,766.74,5.82,6.01,140,146,5.915,0.19,0.032122,1.0016,2026-08-26T19:46:15.742060356Z
2026-08-26T19:46:16.773519+00:00,True,META260904C00575000,META,2026-09-04,9dte,575.0,call,576.26,14.84,15.12,358,17,14.98,0.28,0.018692,0.9978,2026-08-26T19:46:15.952073137Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260904C00262500,AMZN,2026-09-04,9dte,262.5,call,260.28,3.83,4.01,210,142,3.92,0.18,0.045918,1.0085,2026-08-26T19:46:15.573306779Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260904C00312500,AAPL,2026-09-04,9dte,312.5,call,315.15,6.37,6.59,135,383,6.48,0.22,0.033951,0.9916,2026-08-26T19:46:15.867429615Z
2026-08-26T19:46:16.773519+00:00,True,SPY260904P00766000,SPY,2026-09-04,9dte,766.0,put,766.74,5.18,5.21,166,5,5.195,0.03,0.005775,0.999,2026-08-26T19:46:16.469079454Z
2026-08-26T19:46:16.773519+00:00,True,MU260904C00940000,MU,2026-09-04,9dte,940.0,call,936.92,37.69,39.38,48,114,38.535,1.69,0.043856,1.0033,2026-08-26T19:46:14.625462664Z
2026-08-26T19:46:16.773519+00:00,True,SPY260925P00767000,SPY,2026-09-25,30dte,767.0,put,766.74,10.64,10.73,121,65,10.685,0.09,0.008423,1.0003,2026-08-26T19:46:16.310391374Z
2026-08-26T19:46:16.773519+00:00,True,MU260904C00942500,MU,2026-09-04,9dte,942.5,call,936.92,36,38.04,29,30,37.019999999999996,2.04,0.055105,1.006,2026-08-26T19:46:13.996318682Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260904P00345000,GOOGL,2026-09-04,9dte,345.0,put,342.29,7.27,7.43,85,300,7.35,0.16,0.021769,1.0079,2026-08-26T19:46:15.884560532Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260925P00345000,TSLA,2026-09-25,30dte,345.0,put,346.325,14.25,14.49,28,82,14.370000000000001,0.24,0.016701,0.9962,2026-08-26T19:46:16.561092165Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260925P00340000,TSLA,2026-09-25,30dte,340.0,put,346.325,12.26,12.43,21,90,12.344999999999999,0.17,0.013771,0.9817,2026-08-26T19:46:16.561318403Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260925P00350000,TSLA,2026-09-25,30dte,350.0,put,346.325,17.37,17.52,21,48,17.445,0.15,0.008598,1.0106,2026-08-26T19:46:16.561042334Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260904P00342500,GOOGL,2026-09-04,9dte,342.5,put,342.29,5.87,6.03,35,49,5.95,0.16,0.026891,1.0006,2026-08-26T19:46:16.370821857Z
2026-08-26T19:46:16.773519+00:00,True,MU260904P00935000,MU,2026-09-04,9dte,935.0,put,936.92,35.09,37.9,101,91,36.495000000000005,2.81,0.076997,0.998,2026-08-26T19:46:15.15607187Z
2026-08-26T19:46:16.773519+00:00,True,AMD260904P00480000,AMD,2026-09-04,9dte,480.0,put,479.9,17.08,17.31,13,70,17.195,0.23,0.013376,1.0002,2026-08-26T19:46:16.149030994Z
2026-08-26T19:46:16.773519+00:00,True,TSLA260925C00350000,TSLA,2026-09-25,30dte,350.0,call,346.325,14.95,15.2,309,33,15.075,0.25,0.016584,1.0106,2026-08-26T19:46:16.562207078Z
