captured_at,account,host,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911C00225000,NVDA,2026-09-11,9dte,225.0,call,224.31,4.18,4.23,420.0,114.0,4.205,0.05,0.011891,1.0031,2026-09-02T19:50:08.162658671Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00335000,TSLA,2026-09-11,9dte,335.0,put,355.76,2.42,2.46,8.0,11.0,2.44,0.04,0.016393,0.9416,2026-09-02T19:50:07.599982467Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00708000,SPY,2026-09-11,9dte,708.0,put,765.375,0.12,0.13,446.0,287.0,0.125,0.01,0.08,0.925,2026-09-02T19:50:08.463364679Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00220000,NVDA,2026-09-11,9dte,220.0,put,224.31,2.63,2.67,34.0,5.0,2.65,0.04,0.015094,0.9808,2026-09-02T19:50:05.347617639Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00195000,NVDA,2026-09-11,9dte,195.0,put,224.31,0.22,0.25,544.0,185.0,0.235,0.03,0.12766,0.8693,2026-09-02T19:50:06.904551603Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00719000,SPY,2026-09-11,9dte,719.0,put,765.375,0.18,0.19,286.0,460.0,0.185,0.01,0.054054,0.9394,2026-09-02T19:50:07.651247986Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00225000,NVDA,2026-09-11,9dte,225.0,put,224.31,4.72,4.82,110.0,85.0,4.77,0.1,0.020964,1.0031,2026-09-02T19:50:07.451370826Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00665000,SPY,2026-09-11,9dte,665.0,put,765.375,0.08,0.09,442.0,354.0,0.085,0.01,0.117647,0.8689,2026-09-02T19:50:08.463094137Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00372500,TSLA,2026-09-11,9dte,372.5,call,355.76,3.8,3.97,26.0,20.0,3.885,0.17,0.043758,1.0471,2026-09-02T19:50:07.372627763Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00680000,SPY,2026-09-11,9dte,680.0,put,765.375,0.06,0.07,411.0,633.0,0.065,0.01,0.153846,0.8885,2026-09-02T19:50:08.463130053Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00696000,SPY,2026-09-11,9dte,696.0,put,765.375,0.09,0.14,280.0,507.0,0.115,0.05,0.434783,0.9094,2026-09-02T19:50:08.463023952Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00207500,NVDA,2026-09-11,9dte,207.5,put,224.31,0.53,0.59,92.0,163.0,0.56,0.06,0.107143,0.9251,2026-09-02T19:50:07.048485115Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00330000,TSLA,2026-09-11,9dte,330.0,put,355.76,1.68,1.73,11.0,7.0,1.705,0.05,0.029326,0.9276,2026-09-02T19:50:08.401897339Z
2026-09-02T19:50:08.552459+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00350000,TSLA,2026-09-11,9dte,350.0,put,355.76,6.61,6.83,35.0,27.0,6.72,0.22,0.032738,0.9838,2026-09-02T19:50:07.713843238Z
